
Last                     	Previous 	Highest 	Lowest 	 	
Currency                 	9.7      	9.7     	11.78  	 	 	
Stock Market             	14247    	14184   	14284  	
GDP Annual Growth Rate   	2.5      	4.1     	14.3   	
Unemployment Rate        	13.1     	13.7    	15.1   	
Inflation Rate           	1.7      	1.3     	10.1   	
Interest Rate            	2.75     	2.75    	7      	
Balance of Trade         	-22349   	-26383  	-1255  	
Current Account          	3178     	-1753   	11697  	
Current Account to GDP   	-2.8     	-3.9    	2      	
Government Debt to GDP   	69.7     	71.6    	118    	
Government Budget        	-4.7     	-5.3    	3.6    	
Consumer Confidence      	46.1     	45.3    	92.1   	
Corporate Tax Rate       	32       	32      	35     	
Personal Income Tax Rate 	38       	38      	44     	
